No saved genome found.
Generation 1/100
Genome 1: Fitness 88.30
Genome 2: Fitness 55.36
Genome 3: Fitness 43.19
Genome 4: Fitness 72.00
Genome 5: Fitness 52.50
Genome 6: Fitness 80.63
Genome 7: Fitness 22.01
Genome 8: Fitness 76.43
Genome 9: Fitness 69.59
Genome 10: Fitness 63.90
Genome 11: Fitness 56.78
Genome 12: Fitness 43.60
Genome 13: Fitness 43.31
Genome 14: Fitness 32.30
Genome 15: Fitness 35.55
Genome 16: Fitness 35.43
Genome 17: Fitness 67.21
Genome 18: Fitness 46.12
Genome 19: Fitness 89.05
Genome 20: Fitness 66.19
Genome 21: Fitness 50.56
Genome 22: Fitness 32.16
Genome 23: Fitness 50.13
Genome 24: Fitness 78.42
Genome 25: Fitness 9.52
Genome 26: Fitness 38.13
Genome 27: Fitness 12.36
Genome 28: Fitness 43.13
Genome 29: Fitness 59.70
Genome 30: Fitness 35.89
Genome 31: Fitness 41.37
Genome 32: Fitness 85.14
Genome 33: Fitness 50.79
Genome 34: Fitness 88.27
Genome 35: Fitness 10.34
Genome 36: Fitness 70.14
Genome 37: Fitness 34.44
Genome 38: Fitness 51.74
Genome 39: Fitness 39.29
Genome 40: Fitness 74.28
Genome 41: Fitness 49.28
Genome 42: Fitness 48.77
Genome 43: Fitness 41.77
Genome 44: Fitness 77.25
Genome 45: Fitness 45.37
Genome 46: Fitness 49.75
Genome 47: Fitness 78.37
Genome 48: Fitness 31.12
Genome 49: Fitness 60.82
Genome 50: Fitness 29.35
Genome 51: Fitness 56.89
Genome 52: Fitness 41.72
Genome 53: Fitness 52.91
Genome 54: Fitness 40.94
Genome 55: Fitness 69.38
Genome 56: Fitness 62.51
Genome 57: Fitness 75.88
Genome 58: Fitness 76.66
Genome 59: Fitness 29.11
Genome 60: Fitness 59.92
Genome 61: Fitness 91.03
Genome 62: Fitness 86.97
Genome 63: Fitness 57.12
Genome 64: Fitness 78.39
Genome 65: Fitness 15.09
Genome 66: Fitness 87.35
Genome 67: Fitness 45.87
Genome 68: Fitness 56.77
Genome 69: Fitness 57.78
Genome 70: Fitness 91.39
Genome 71: Fitness 49.15
Genome 72: Fitness 47.84
Genome 73: Fitness 6.81
Genome 74: Fitness 29.75
Genome 75: Fitness 30.51
Genome 76: Fitness 36.77
Genome 77: Fitness 73.15
Genome 78: Fitness 32.65
Genome 79: Fitness 55.61
Genome 80: Fitness 31.52
Genome 81: Fitness 77.80
Genome 82: Fitness 79.11
Genome 83: Fitness 49.27
Genome 84: Fitness 56.78
Genome 85: Fitness 35.40
Genome 86: Fitness 58.14
Genome 87: Fitness 30.80
Genome 88: Fitness 36.19
Genome 89: Fitness 41.48
Genome 90: Fitness 48.01
Genome 91: Fitness 66.55
Genome 92: Fitness 51.28
Genome 93: Fitness 17.56
Genome 94: Fitness 21.87
Genome 95: Fitness 89.04
Genome 96: Fitness 48.26
Genome 97: Fitness 78.76
Genome 98: Fitness 86.16
Genome 99: Fitness 42.97
Genome 100: Fitness 87.44
Best fitness: 91.39
Saved best genome to bestModels/bestGenome__g100_m0.1_p100_uniform_gen100_e5_pop3_p100_e5.json
Generation 2/100
Genome 1: Fitness 91.39
Genome 2: Fitness 91.03
Genome 3: Fitness 89.05
Genome 4: Fitness 89.04
Genome 5: Fitness 88.30
Genome 6: Fitness 7.03
Genome 7: Fitness 63.52
Genome 8: Fitness 87.24
Genome 9: Fitness 76.53
Genome 10: Fitness 68.77
Genome 11: Fitness 39.58
Genome 12: Fitness 56.05
Genome 13: Fitness 68.54
Genome 14: Fitness 54.71
Genome 15: Fitness 79.59
Genome 16: Fitness 38.53
Genome 17: Fitness 88.70
Genome 18: Fitness 58.15
Genome 19: Fitness 79.92
Genome 20: Fitness 72.86
Genome 21: Fitness 41.56
Genome 22: Fitness 42.12
Genome 23: Fitness 78.01
Genome 24: Fitness 85.01
Genome 25: Fitness 86.33
Genome 26: Fitness 75.89
Genome 27: Fitness 37.23
Genome 28: Fitness 29.95
Genome 29: Fitness 38.36
Genome 30: Fitness 55.51
Genome 31: Fitness 6.80
Genome 32: Fitness 66.60
Genome 33: Fitness 20.90
Genome 34: Fitness 58.15
Genome 35: Fitness 90.54
Genome 36: Fitness 55.12
Genome 37: Fitness 88.37
Genome 38: Fitness 23.32
Genome 39: Fitness 29.60
Genome 40: Fitness 48.32
Genome 41: Fitness 64.41
Genome 42: Fitness 35.18
Genome 43: Fitness 47.75
Genome 44: Fitness 58.06
Genome 45: Fitness 50.76
Genome 46: Fitness 78.73
Genome 47: Fitness 37.34
Genome 48: Fitness 55.43
Genome 49: Fitness 17.20
Genome 50: Fitness 46.91
Genome 51: Fitness 30.09
Genome 52: Fitness 16.90
Genome 53: Fitness 26.17
Genome 54: Fitness 76.84
Genome 55: Fitness 76.98
Genome 56: Fitness 71.67
Genome 57: Fitness 56.54
Genome 58: Fitness 61.48
Genome 59: Fitness 71.04
Genome 60: Fitness 58.20
Genome 61: Fitness 65.47
Genome 62: Fitness 49.24
Genome 63: Fitness 50.58
Genome 64: Fitness 38.03
Genome 65: Fitness 48.42
Genome 66: Fitness 39.36
Genome 67: Fitness 69.48
Genome 68: Fitness 50.47
Genome 69: Fitness 41.12
Genome 70: Fitness 70.40
Genome 71: Fitness 48.85
Genome 72: Fitness 30.77
Genome 73: Fitness 40.84
Genome 74: Fitness 36.49
Genome 75: Fitness 45.23
Genome 76: Fitness 79.56
Genome 77: Fitness 72.91
Genome 78: Fitness 39.79
Genome 79: Fitness 76.96
Genome 80: Fitness 48.06
Genome 81: Fitness 34.92
Genome 82: Fitness 44.75
Genome 83: Fitness 33.34
Genome 84: Fitness 35.60
Genome 85: Fitness 87.67
Genome 86: Fitness 84.75
Genome 87: Fitness 81.10
Genome 88: Fitness 50.53
Genome 89: Fitness 34.17
Genome 90: Fitness 53.80
Genome 91: Fitness 45.48
Genome 92: Fitness 34.51
Genome 93: Fitness 89.90
Genome 94: Fitness 10.85
Genome 95: Fitness 78.00
Genome 96: Fitness 64.59
Genome 97: Fitness 57.17
Genome 98: Fitness 35.75
Genome 99: Fitness 78.37
Genome 100: Fitness 45.77
Best fitness: 91.39
Generation 3/100
Genome 1: Fitness 91.39
Genome 2: Fitness 91.03
Genome 3: Fitness 90.54
Genome 4: Fitness 89.90
Genome 5: Fitness 89.05
Genome 6: Fitness 61.69
Genome 7: Fitness 35.53
Genome 8: Fitness 79.92
Genome 9: Fitness 48.50
Genome 10: Fitness 58.90
Genome 11: Fitness 44.87
Genome 12: Fitness 89.12
Genome 13: Fitness 56.15
Genome 14: Fitness 32.10
Genome 15: Fitness 69.04
Genome 16: Fitness 81.30
Genome 17: Fitness 45.48
Genome 18: Fitness 55.63
Genome 19: Fitness 45.74
Genome 20: Fitness 39.53
Genome 21: Fitness 59.09
Genome 22: Fitness 60.04
Genome 23: Fitness 90.07
Genome 24: Fitness 59.98
Genome 25: Fitness 79.90
Genome 26: Fitness 56.92
Genome 27: Fitness 83.82
Genome 28: Fitness 50.78
Genome 29: Fitness 39.17
Genome 30: Fitness 6.77
Genome 31: Fitness 61.95
Genome 32: Fitness 16.40
Genome 33: Fitness 82.32
Genome 34: Fitness 17.01
Genome 35: Fitness 77.20
Genome 36: Fitness 66.66
Genome 37: Fitness 29.36
Genome 38: Fitness 80.69
Genome 39: Fitness 32.00
Genome 40: Fitness 36.46
Genome 41: Fitness 40.71
Genome 42: Fitness 72.06
Genome 43: Fitness 59.60
Genome 44: Fitness 59.42
Genome 45: Fitness 85.67
Genome 46: Fitness 28.09
Genome 47: Fitness 38.81
Genome 48: Fitness 61.76
Genome 49: Fitness 87.61
Genome 50: Fitness 34.70
Genome 51: Fitness 32.93
Genome 52: Fitness 79.48
Genome 53: Fitness 49.09
Genome 54: Fitness 46.29
Genome 55: Fitness 58.42
Genome 56: Fitness 8.72
Genome 57: Fitness 73.65
Genome 58: Fitness 42.27
Genome 59: Fitness 46.96
Genome 60: Fitness 47.17
Genome 61: Fitness 85.53
Genome 62: Fitness 66.77
Genome 63: Fitness 34.09
Genome 64: Fitness 48.71
Genome 65: Fitness 57.72
Genome 66: Fitness 49.44
Genome 67: Fitness 80.66
Genome 68: Fitness 59.27
Genome 69: Fitness 40.35
Genome 70: Fitness 74.11
Genome 71: Fitness 26.66
Genome 72: Fitness 33.56
Genome 73: Fitness 24.93
Genome 74: Fitness 78.46
Genome 75: Fitness 34.77
Genome 76: Fitness 41.87
Genome 77: Fitness 59.24
Genome 78: Fitness 28.34
Genome 79: Fitness 28.70
Genome 80: Fitness 40.40
Genome 81: Fitness 86.26
Genome 82: Fitness 56.66
Genome 83: Fitness 21.21
Genome 84: Fitness 46.34
Genome 85: Fitness 7.91
Genome 86: Fitness 27.79
Genome 87: Fitness 76.15
Genome 88: Fitness 43.19
Genome 89: Fitness 51.29
Genome 90: Fitness 41.15
Genome 91: Fitness 76.26
