No saved genome found.
Genome 92: Fitness 53.92
Genome 93: Fitness 32.87
Genome 94: Fitness 40.55
Genome 95: Fitness 60.08
Genome 96: Fitness 49.67
Genome 97: Fitness 32.89
Genome 98: Fitness 30.37
Genome 99: Fitness 33.13
Genome 100: Fitness 69.46
Best fitness: 91.39
Generation 4/100
Genome 1: Fitness 91.39
Genome 2: Fitness 91.03
Genome 3: Fitness 90.54
Genome 4: Fitness 90.07
Genome 5: Fitness 89.90
Genome 6: Fitness 49.93
Genome 7: Fitness 47.31
Genome 8: Fitness 30.32
Genome 9: Fitness 46.02
Genome 10: Fitness 76.71
Genome 11: Fitness 59.39
Genome 12: Fitness 52.76
Genome 13: Fitness 46.67
Genome 14: Fitness 57.47
Genome 15: Fitness 42.57
Genome 16: Fitness 36.29
Genome 17: Fitness 70.80
Genome 18: Fitness 27.21
Genome 19: Fitness 38.61
Genome 20: Fitness 29.23
Genome 21: Fitness 73.88
Genome 22: Fitness 14.33
Genome 23: Fitness 31.58
Genome 24: Fitness 56.44
Genome 25: Fitness 89.55
Genome 26: Fitness 7.56
Genome 27: Fitness 13.36
Genome 28: Fitness 38.36
Genome 29: Fitness 33.16
Genome 30: Fitness 83.90
Genome 31: Fitness 56.23
Genome 32: Fitness 48.94
Genome 33: Fitness 62.39
Genome 34: Fitness 74.02
Genome 35: Fitness 33.85
Genome 36: Fitness 34.46
Genome 37: Fitness 15.86
Genome 38: Fitness 48.81
Genome 39: Fitness 52.47
Genome 40: Fitness 33.73
Genome 41: Fitness 40.57
Genome 42: Fitness 53.66
Genome 43: Fitness 33.59
Genome 44: Fitness 51.33
Genome 45: Fitness 46.96
Genome 46: Fitness 58.18
Genome 47: Fitness 85.83
Genome 48: Fitness 31.24
Genome 49: Fitness 75.94
Genome 50: Fitness 65.20
Genome 51: Fitness 89.19
Genome 52: Fitness 63.12
Genome 53: Fitness 35.12
Genome 54: Fitness 72.67
Genome 55: Fitness 36.24
Genome 56: Fitness 70.03
Genome 57: Fitness 56.64
Genome 58: Fitness 31.90
Genome 59: Fitness 47.38
Genome 60: Fitness 58.14
Genome 61: Fitness 85.63
Genome 62: Fitness 32.83
Genome 63: Fitness 77.81
Genome 64: Fitness 31.70
Genome 65: Fitness 56.66
Genome 66: Fitness 36.48
Genome 67: Fitness 45.64
Genome 68: Fitness 6.72
Genome 69: Fitness 82.52
Genome 70: Fitness 32.12
Genome 71: Fitness 9.19
Genome 72: Fitness 73.54
Genome 73: Fitness 72.39
Genome 74: Fitness 84.38
Genome 75: Fitness 78.14
Genome 76: Fitness 90.88
Genome 77: Fitness 82.86
Genome 78: Fitness 73.62
Genome 79: Fitness 81.09
Genome 80: Fitness 40.51
Genome 81: Fitness 32.12
Genome 82: Fitness 33.00
Genome 83: Fitness 35.28
Genome 84: Fitness 30.18
Genome 85: Fitness 60.33
Genome 86: Fitness 68.45
Genome 87: Fitness 74.78
Genome 88: Fitness 36.37
Genome 89: Fitness 86.18
Genome 90: Fitness 61.38
Genome 91: Fitness 63.79
Genome 92: Fitness 22.21
Genome 93: Fitness 88.77
Genome 94: Fitness 87.57
Genome 95: Fitness 52.46
Genome 96: Fitness 65.64
Genome 97: Fitness 53.94
Genome 98: Fitness 43.38
Genome 99: Fitness 33.73
Genome 100: Fitness 42.25
Best fitness: 91.39
Generation 5/100
Genome 1: Fitness 91.39
Genome 2: Fitness 91.03
Genome 3: Fitness 90.88
Genome 4: Fitness 90.54
Genome 5: Fitness 90.07
Genome 6: Fitness 65.55
Genome 7: Fitness 73.86
Genome 8: Fitness 38.55
Genome 9: Fitness 72.67
Genome 10: Fitness 60.53
Genome 11: Fitness 71.83
Genome 12: Fitness 19.15
Genome 13: Fitness 39.14
Genome 14: Fitness 45.03
Genome 15: Fitness 65.26
Genome 16: Fitness 28.87
Genome 17: Fitness 87.76
Genome 18: Fitness 88.10
Genome 19: Fitness 88.05
Genome 20: Fitness 71.53
Genome 21: Fitness 51.48
Genome 22: Fitness 47.52
Genome 23: Fitness 58.12
Genome 24: Fitness 38.48
Genome 25: Fitness 47.05
Genome 26: Fitness 80.04
Genome 27: Fitness 67.74
Genome 28: Fitness 19.24
Genome 29: Fitness 17.53
Genome 30: Fitness 81.25
Genome 31: Fitness 38.67
Genome 32: Fitness 82.63
Genome 33: Fitness 81.53
Genome 34: Fitness 47.26
Genome 35: Fitness 82.26
Genome 36: Fitness 56.12
Genome 37: Fitness 44.88
Genome 38: Fitness 55.30
Genome 39: Fitness 31.02
Genome 40: Fitness 67.12
Genome 41: Fitness 55.77
Genome 42: Fitness 36.59
Genome 43: Fitness 75.80
Genome 44: Fitness 91.16
Genome 45: Fitness 29.64
Genome 46: Fitness 44.27
Genome 47: Fitness 41.45
Genome 48: Fitness 44.32
Genome 49: Fitness 51.82
Genome 50: Fitness 60.76
Genome 51: Fitness 48.12
Genome 52: Fitness 50.05
Genome 53: Fitness 57.56
Genome 54: Fitness 74.46
Genome 55: Fitness 20.16
Genome 56: Fitness 46.33
Genome 57: Fitness 83.07
Genome 58: Fitness 40.45
Genome 59: Fitness 33.65
Genome 60: Fitness 21.31
Genome 61: Fitness 32.04
Genome 62: Fitness 76.15
Genome 63: Fitness 75.61
Genome 64: Fitness 63.13
Genome 65: Fitness 61.73
Genome 66: Fitness 51.35
Genome 67: Fitness 43.98
Genome 68: Fitness 57.57
Genome 69: Fitness 66.01
Genome 70: Fitness 74.87
Genome 71: Fitness 56.75
Genome 72: Fitness 66.04
Genome 73: Fitness 37.14
Genome 74: Fitness 73.12
Genome 75: Fitness 67.73
Genome 76: Fitness 86.81
Genome 77: Fitness 88.51
Genome 78: Fitness 83.53
Genome 79: Fitness 87.85
Genome 80: Fitness 37.91
Genome 81: Fitness 81.23
Genome 82: Fitness 41.40
Genome 83: Fitness 51.84
Genome 84: Fitness 45.87
Genome 85: Fitness 73.75
Genome 86: Fitness 38.28
Genome 87: Fitness 92.83
Genome 88: Fitness 87.27
Genome 89: Fitness 19.49
Genome 90: Fitness 76.87
Genome 91: Fitness 82.90
Genome 92: Fitness 31.42
Genome 93: Fitness 47.84
Genome 94: Fitness 68.22
Genome 95: Fitness 48.93
Genome 96: Fitness 85.16
Genome 97: Fitness 86.56
Genome 98: Fitness 80.05
Genome 99: Fitness 53.22
Genome 100: Fitness 94.10
Best fitness: 94.10
Saved best genome to bestModels/bestGenome__g100_m0.1_p100_uniform_gen100_e5_pop3_p100_e5.json
Generation 6/100
Genome 1: Fitness 94.10
Genome 2: Fitness 92.83
Genome 3: Fitness 91.39
Genome 4: Fitness 91.16
Genome 5: Fitness 91.03
Genome 6: Fitness 51.36
Genome 7: Fitness 65.66
Genome 8: Fitness 69.45
Genome 9: Fitness 93.43
Genome 10: Fitness 62.72
Genome 11: Fitness 53.66
Genome 12: Fitness 31.27
Genome 13: Fitness 33.48
Genome 14: Fitness 30.50
Genome 15: Fitness 90.26
Genome 16: Fitness 32.58
Genome 17: Fitness 88.23
Genome 18: Fitness 35.81
Genome 19: Fitness 76.62
Genome 20: Fitness 31.59
Genome 21: Fitness 85.16
Genome 22: Fitness 38.37
Genome 23: Fitness 60.23
Genome 24: Fitness 82.27
Genome 25: Fitness 22.06
Genome 26: Fitness 84.13
Genome 27: Fitness 83.53
Genome 28: Fitness 60.77
Genome 29: Fitness 85.14
Genome 30: Fitness 33.11
Genome 31: Fitness 52.27
Genome 32: Fitness 32.66
Genome 33: Fitness 50.86
Genome 34: Fitness 71.64
Genome 35: Fitness 36.00
Genome 36: Fitness 32.69
Genome 37: Fitness 82.10
Genome 38: Fitness 43.87
Genome 39: Fitness 42.07
Genome 40: Fitness 75.89
Genome 41: Fitness 53.20
Genome 42: Fitness 33.84
Genome 43: Fitness 72.47
Genome 44: Fitness 87.06
Genome 45: Fitness 16.05
Genome 46: Fitness 75.37
Genome 47: Fitness 48.07
Genome 48: Fitness 54.81
Genome 49: Fitness 73.56
Genome 50: Fitness 55.36
Genome 51: Fitness 11.65
Genome 52: Fitness 56.84
Genome 53: Fitness 60.19
Genome 54: Fitness 50.29
Genome 55: Fitness 53.04
Genome 56: Fitness 16.78
Genome 57: Fitness 86.40
Genome 58: Fitness 41.70
Genome 59: Fitness 20.79
Genome 60: Fitness 29.10
Genome 61: Fitness 73.45
Genome 62: Fitness 62.96
Genome 63: Fitness 88.92
Genome 64: Fitness 43.87
Genome 65: Fitness 88.34
Genome 66: Fitness 70.47
Genome 67: Fitness 82.41
Genome 68: Fitness 78.64
Genome 69: Fitness 35.26
Genome 70: Fitness 34.24
Genome 71: Fitness 34.82
Genome 72: Fitness 33.32
Genome 73: Fitness 36.73
Genome 74: Fitness 37.79
Genome 75: Fitness 52.67
Genome 76: Fitness 74.19
Genome 77: Fitness 43.23
Genome 78: Fitness 81.24
Genome 79: Fitness 80.22
Genome 80: Fitness 33.23
Genome 81: Fitness 49.39
Genome 82: Fitness 83.33
Genome 83: Fitness 45.11
Genome 84: Fitness 78.17
Genome 85: Fitness 21.56
Genome 86: Fitness 37.13
Genome 87: Fitness 80.50
Genome 88: Fitness 85.27
Genome 89: Fitness 51.80
Genome 90: Fitness 51.25
Genome 91: Fitness 55.95
Genome 92: Fitness 65.00
Genome 93: Fitness 41.38
Genome 94: Fitness 59.88
Genome 95: Fitness 35.03
Genome 96: Fitness 57.80
Genome 97: Fitness 61.67
Genome 98: Fitness 51.30
Genome 99: Fitness 32.98
Genome 100: Fitness 84.00
Best fitness: 94.10
Generation 7/100
Genome 1: Fitness 94.10
Genome 2: Fitness 93.43
Genome 3: Fitness 92.83
Genome 4: Fitness 91.39
Genome 5: Fitness 91.16
Genome 6: Fitness 36.56
Genome 7: Fitness 40.23
Genome 8: Fitness 89.78
Genome 9: Fitness 88.13
Genome 10: Fitness 32.61
Genome 11: Fitness 33.83
Genome 12: Fitness 59.95
Genome 13: Fitness 65.06
Genome 14: Fitness 72.23
Genome 15: Fitness 56.57
Genome 16: Fitness 42.53
Genome 17: Fitness 39.23
Genome 18: Fitness 32.49
Genome 19: Fitness 54.96
Genome 20: Fitness 79.57
Genome 21: Fitness 31.24
Genome 22: Fitness 34.00
Genome 23: Fitness 38.64
Genome 24: Fitness 59.94
Genome 25: Fitness 35.34
Genome 26: Fitness 51.86
Genome 27: Fitness 86.00
Genome 28: Fitness 88.81
Genome 29: Fitness 83.29
Genome 30: Fitness 28.58
Genome 31: Fitness 49.12
Genome 32: Fitness 85.05
Genome 33: Fitness 75.26
Genome 34: Fitness 45.65
Genome 35: Fitness 50.66
Genome 36: Fitness 48.89
Genome 37: Fitness 46.48
Genome 38: Fitness 50.95
Genome 39: Fitness 64.77
Genome 40: Fitness 49.25
Genome 41: Fitness 56.40
Genome 42: Fitness 50.18
Genome 43: Fitness 37.92
Genome 44: Fitness 16.81
Genome 45: Fitness 62.74
Genome 46: Fitness 31.73
Genome 47: Fitness 65.04
Genome 48: Fitness 50.99
Genome 49: Fitness 35.84
Genome 50: Fitness 30.45
Genome 51: Fitness 48.15
Genome 52: Fitness 59.33
Genome 53: Fitness 46.64
Genome 54: Fitness 49.20
Genome 55: Fitness 32.13
Genome 56: Fitness 23.02
Genome 57: Fitness 14.07
Genome 58: Fitness 58.90
Genome 59: Fitness 67.47
Genome 60: Fitness 16.26
Genome 61: Fitness 55.65
Genome 62: Fitness 58.15
Genome 63: Fitness 32.71
Genome 64: Fitness 61.27
Genome 65: Fitness 37.24
Genome 66: Fitness 65.87
Genome 67: Fitness 54.08
Genome 68: Fitness 28.73
Genome 69: Fitness 35.35
Genome 70: Fitness 36.51
Genome 71: Fitness 88.61
Genome 72: Fitness 31.58
Genome 73: Fitness 65.54
Genome 74: Fitness 65.00
Genome 75: Fitness 42.74
Genome 76: Fitness 59.37
Genome 77: Fitness 45.11
Genome 78: Fitness 39.99
Genome 79: Fitness 63.03
Genome 80: Fitness 85.62
Genome 81: Fitness 65.99
Genome 82: Fitness 76.52
Genome 83: Fitness 85.91
Genome 84: Fitness 49.48
Genome 85: Fitness 46.07
Genome 86: Fitness 36.56
Genome 87: Fitness 35.72
Genome 88: Fitness 80.55
Genome 89: Fitness 30.95
Genome 90: Fitness 43.44
Genome 91: Fitness 82.50
Genome 92: Fitness 55.08
Genome 93: Fitness 47.13
Genome 94: Fitness 36.20
Genome 95: Fitness 56.30
Genome 96: Fitness 83.36
Genome 97: Fitness 39.35
Genome 98: Fitness 87.86
Genome 99: Fitness 40.30
Genome 100: Fitness 44.98
Best fitness: 94.10
Generation 8/100
Genome 1: Fitness 94.10
Genome 2: Fitness 93.43
Genome 3: Fitness 92.83
Genome 4: Fitness 91.39
Genome 5: Fitness 91.16
Genome 6: Fitness 82.38
Genome 7: Fitness 36.28
Genome 8: Fitness 43.15
Genome 9: Fitness 85.60
Genome 10: Fitness 54.16
Genome 11: Fitness 72.15
Genome 12: Fitness 70.34
Genome 13: Fitness 88.11
Genome 14: Fitness 53.96
Genome 15: Fitness 51.81
Genome 16: Fitness 88.25
Genome 17: Fitness 80.53
Genome 18: Fitness 89.80
Genome 19: Fitness 37.48
Genome 20: Fitness 31.00
Genome 21: Fitness 14.67
Genome 22: Fitness 8.90
Genome 23: Fitness 49.69
Genome 24: Fitness 29.32
Genome 25: Fitness 47.42
Genome 26: Fitness 54.60
Genome 27: Fitness 82.18
Genome 28: Fitness 87.05
Genome 29: Fitness 73.32
Genome 30: Fitness 51.09
Genome 31: Fitness 39.19
Genome 32: Fitness 39.71
Genome 33: Fitness 82.24
Genome 34: Fitness 38.11
Genome 35: Fitness 29.37
Genome 36: Fitness 32.45
Genome 37: Fitness 69.71
Genome 38: Fitness 51.46
Genome 39: Fitness 32.75
Genome 40: Fitness 78.25
Genome 41: Fitness 48.67
Genome 42: Fitness 33.92
Genome 43: Fitness 12.35
Genome 44: Fitness 86.48
Genome 45: Fitness 38.83
Genome 46: Fitness 15.69
Genome 47: Fitness 45.70
Genome 48: Fitness 84.07
Genome 49: Fitness 30.39
Genome 50: Fitness 86.81
Genome 51: Fitness 53.73
Genome 52: Fitness 51.60
Genome 53: Fitness 44.07
Genome 54: Fitness 84.32
Genome 55: Fitness 80.40
Genome 56: Fitness 30.83
Genome 57: Fitness 78.15
Genome 58: Fitness 52.16
Genome 59: Fitness 50.67
Genome 60: Fitness 89.63
Genome 61: Fitness 24.00
Genome 62: Fitness 35.41
Genome 63: Fitness 43.91
Genome 64: Fitness 39.01
Genome 65: Fitness 42.25
Genome 66: Fitness 72.57
Genome 67: Fitness 30.66
Genome 68: Fitness 33.14
Genome 69: Fitness 25.91
Genome 70: Fitness 39.15
Genome 71: Fitness 31.61
Genome 72: Fitness 34.79
Genome 73: Fitness 45.79
Genome 74: Fitness 89.18
Genome 75: Fitness 52.90
Genome 76: Fitness 86.74
Genome 77: Fitness 77.06
Genome 78: Fitness 69.90
Genome 79: Fitness 42.45
Genome 80: Fitness 33.04
Genome 81: Fitness 81.43
Genome 82: Fitness 90.74
Genome 83: Fitness 31.05
Genome 84: Fitness 52.74
Genome 85: Fitness 37.22
Genome 86: Fitness 50.20
Genome 87: Fitness 65.84
Genome 88: Fitness 40.98
Genome 89: Fitness 36.03
Genome 90: Fitness 84.49
Genome 91: Fitness 38.88
Genome 92: Fitness 56.20
Genome 93: Fitness 29.65
Genome 94: Fitness 34.40
Genome 95: Fitness 36.91
Genome 96: Fitness 84.43
Genome 97: Fitness 75.46
Genome 98: Fitness 34.62
Genome 99: Fitness 53.29
Genome 100: Fitness 68.26
Best fitness: 94.10
Generation 9/100
Genome 1: Fitness 94.10
Genome 2: Fitness 93.43
Genome 3: Fitness 92.83
Genome 4: Fitness 91.39
Genome 5: Fitness 91.16
Genome 6: Fitness 25.44
Genome 7: Fitness 64.68
Genome 8: Fitness 52.24
Genome 9: Fitness 45.21
Genome 10: Fitness 12.83
Genome 11: Fitness 11.72
Genome 12: Fitness 63.30
Genome 13: Fitness 74.92
Genome 14: Fitness 52.20
Genome 15: Fitness 89.91
Genome 16: Fitness 31.38
Genome 17: Fitness 76.14
Genome 18: Fitness 64.62
Genome 19: Fitness 68.02
Genome 20: Fitness 44.45
Genome 21: Fitness 72.33
Genome 22: Fitness 79.31
Genome 23: Fitness 53.85
Genome 24: Fitness 73.47
Genome 25: Fitness 31.12
Genome 26: Fitness 84.64
Genome 27: Fitness 29.49
Genome 28: Fitness 30.95
Genome 29: Fitness 27.80
Genome 30: Fitness 44.42
Genome 31: Fitness 16.56
Genome 32: Fitness 59.29
Genome 33: Fitness 79.57
Genome 34: Fitness 30.23
Genome 35: Fitness 59.36
Genome 36: Fitness 28.18
Genome 37: Fitness 82.99
Genome 38: Fitness 41.21
Genome 39: Fitness 50.20
Genome 40: Fitness 50.57
Genome 41: Fitness 91.83
Genome 42: Fitness 24.94
Genome 43: Fitness 59.46
Genome 44: Fitness 21.45
Genome 45: Fitness 64.65
Genome 46: Fitness 34.56
Genome 47: Fitness 31.53
Genome 48: Fitness 30.11
Genome 49: Fitness 41.49
Genome 50: Fitness 30.12
Genome 51: Fitness 71.17
Genome 52: Fitness 50.59
Genome 53: Fitness 74.33
Genome 54: Fitness 7.17
Genome 55: Fitness 69.98
Genome 56: Fitness 49.41
Genome 57: Fitness 54.64
Genome 58: Fitness 74.85
Genome 59: Fitness 37.95
Genome 60: Fitness 75.71
Genome 61: Fitness 15.48
Genome 62: Fitness 76.39
Genome 63: Fitness 86.73
Genome 64: Fitness 46.24
Genome 65: Fitness 48.64
Genome 66: Fitness 17.98
Genome 67: Fitness 19.83
Genome 68: Fitness 83.59
Genome 69: Fitness 34.45
Genome 70: Fitness 78.84
Genome 71: Fitness 63.87
Genome 72: Fitness 35.53
Genome 73: Fitness 41.15
Genome 74: Fitness 54.35
Genome 75: Fitness 42.15
Genome 76: Fitness 56.83
Genome 77: Fitness 63.87
Genome 78: Fitness 37.01
Genome 79: Fitness 33.16
Genome 80: Fitness 47.50
Genome 81: Fitness 78.04
Genome 82: Fitness 30.11
Genome 83: Fitness 40.38
Genome 84: Fitness 50.11
Genome 85: Fitness 75.53
Genome 86: Fitness 58.64
Genome 87: Fitness 58.52
Genome 88: Fitness 48.69
Genome 89: Fitness 68.69
Genome 90: Fitness 64.90
Genome 91: Fitness 53.28
Genome 92: Fitness 55.44
Genome 93: Fitness 31.95
Genome 94: Fitness 36.01
Genome 95: Fitness 72.71
Genome 96: Fitness 86.62
Genome 97: Fitness 47.90
Genome 98: Fitness 60.76
Genome 99: Fitness 71.54
Genome 100: Fitness 83.34
Best fitness: 94.10
Generation 10/100
Genome 1: Fitness 94.10
Genome 2: Fitness 93.43
Genome 3: Fitness 92.83
Genome 4: Fitness 91.83
Genome 5: Fitness 91.39
Genome 6: Fitness 74.64
Genome 7: Fitness 41.27
Genome 8: Fitness 69.13
Genome 9: Fitness 75.42
Genome 10: Fitness 19.63
Genome 11: Fitness 85.39
Genome 12: Fitness 10.52
Genome 13: Fitness 55.51
