No saved genome found.
Genome 34: Fitness 42.21
Genome 35: Fitness 35.57
Genome 36: Fitness 21.96
Genome 37: Fitness 76.55
Genome 38: Fitness 89.70
Genome 39: Fitness 72.24
Genome 40: Fitness 65.38
Genome 41: Fitness 87.10
Genome 42: Fitness 60.15
Genome 43: Fitness 35.72
Genome 44: Fitness 52.83
Genome 45: Fitness 80.70
Genome 46: Fitness 53.43
Genome 47: Fitness 87.18
Genome 48: Fitness 75.19
Genome 49: Fitness 10.98
Genome 50: Fitness 9.22
Best fitness: 93.83
Generation 19/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 91.32
Genome 5: Fitness 16.12
Genome 6: Fitness 43.09
Genome 7: Fitness 28.13
Genome 8: Fitness 69.11
Genome 9: Fitness 38.19
Genome 10: Fitness 82.09
Genome 11: Fitness 88.32
Genome 12: Fitness 63.22
Genome 13: Fitness 64.91
Genome 14: Fitness 30.13
Genome 15: Fitness 62.73
Genome 16: Fitness 31.30
Genome 17: Fitness 73.20
Genome 18: Fitness 42.87
Genome 19: Fitness 48.17
Genome 20: Fitness 33.13
Genome 21: Fitness 90.77
Genome 22: Fitness 34.46
Genome 23: Fitness 84.98
Genome 24: Fitness 57.13
Genome 25: Fitness 72.27
Genome 26: Fitness 81.68
Genome 27: Fitness 66.79
Genome 28: Fitness 42.29
Genome 29: Fitness 77.81
Genome 30: Fitness 29.98
Genome 31: Fitness 47.02
Genome 32: Fitness 55.48
Genome 33: Fitness 47.78
Genome 34: Fitness 81.70
Genome 35: Fitness 78.19
Genome 36: Fitness 86.41
Genome 37: Fitness 27.69
Genome 38: Fitness 33.34
Genome 39: Fitness 91.15
Genome 40: Fitness 55.55
Genome 41: Fitness 14.43
Genome 42: Fitness 11.47
Genome 43: Fitness 47.40
Genome 44: Fitness 35.16
Genome 45: Fitness 89.45
Genome 46: Fitness 55.23
Genome 47: Fitness 57.66
Genome 48: Fitness 86.97
Genome 49: Fitness 42.11
Genome 50: Fitness 31.46
Best fitness: 93.83
Generation 20/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 45.33
Genome 5: Fitness 69.84
Genome 6: Fitness 89.68
Genome 7: Fitness 33.37
Genome 8: Fitness 36.98
Genome 9: Fitness 32.54
Genome 10: Fitness 53.67
Genome 11: Fitness 56.13
Genome 12: Fitness 35.75
Genome 13: Fitness 77.06
Genome 14: Fitness 71.56
Genome 15: Fitness 85.95
Genome 16: Fitness 90.51
Genome 17: Fitness 34.50
Genome 18: Fitness 54.67
Genome 19: Fitness 39.39
Genome 20: Fitness 31.68
Genome 21: Fitness 80.32
Genome 22: Fitness 81.47
Genome 23: Fitness 32.37
Genome 24: Fitness 28.74
Genome 25: Fitness 31.51
Genome 26: Fitness 9.89
Genome 27: Fitness 39.83
Genome 28: Fitness 62.66
Genome 29: Fitness 42.60
Genome 30: Fitness 57.37
Genome 31: Fitness 10.28
Genome 32: Fitness 85.34
Genome 33: Fitness 72.34
Genome 34: Fitness 66.60
Genome 35: Fitness 69.32
Genome 36: Fitness 89.49
Genome 37: Fitness 36.05
Genome 38: Fitness 17.29
Genome 39: Fitness 38.04
Genome 40: Fitness 40.57
Genome 41: Fitness 39.59
Genome 42: Fitness 88.74
Genome 43: Fitness 73.66
Genome 44: Fitness 30.56
Genome 45: Fitness 46.25
Genome 46: Fitness 54.53
Genome 47: Fitness 22.58
Genome 48: Fitness 63.39
Genome 49: Fitness 27.00
Genome 50: Fitness 88.02
Best fitness: 93.83
Generation 21/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 80.98
Genome 5: Fitness 43.02
Genome 6: Fitness 30.05
Genome 7: Fitness 22.82
Genome 8: Fitness 41.33
Genome 9: Fitness 88.64
Genome 10: Fitness 39.05
Genome 11: Fitness 59.00
Genome 12: Fitness 58.34
Genome 13: Fitness 55.55
Genome 14: Fitness 51.14
Genome 15: Fitness 39.78
Genome 16: Fitness 82.34
Genome 17: Fitness 36.43
Genome 18: Fitness 74.33
Genome 19: Fitness 13.12
Genome 20: Fitness 39.26
Genome 21: Fitness 26.52
Genome 22: Fitness 32.03
Genome 23: Fitness 91.68
Genome 24: Fitness 45.08
Genome 25: Fitness 16.99
Genome 26: Fitness 27.27
Genome 27: Fitness 75.65
Genome 28: Fitness 29.62
Genome 29: Fitness 49.06
Genome 30: Fitness 32.94
Genome 31: Fitness 18.43
Genome 32: Fitness 25.67
Genome 33: Fitness 60.13
Genome 34: Fitness 63.80
Genome 35: Fitness 36.66
Genome 36: Fitness 46.98
Genome 37: Fitness 32.16
Genome 38: Fitness 37.71
Genome 39: Fitness 30.15
Genome 40: Fitness 52.03
Genome 41: Fitness 67.82
Genome 42: Fitness 65.26
Genome 43: Fitness 45.48
Genome 44: Fitness 87.91
Genome 45: Fitness 31.06
Genome 46: Fitness 50.32
Genome 47: Fitness 33.47
Genome 48: Fitness 49.38
Genome 49: Fitness 48.78
Genome 50: Fitness 50.52
Best fitness: 93.83
Generation 22/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 65.95
Genome 5: Fitness 44.15
Genome 6: Fitness 82.82
Genome 7: Fitness 33.39
Genome 8: Fitness 47.83
Genome 9: Fitness 33.86
Genome 10: Fitness 32.38
Genome 11: Fitness 33.66
Genome 12: Fitness 72.12
Genome 13: Fitness 83.46
Genome 14: Fitness 54.53
Genome 15: Fitness 20.99
Genome 16: Fitness 90.35
Genome 17: Fitness 49.92
Genome 18: Fitness 43.29
Genome 19: Fitness 38.29
Genome 20: Fitness 76.84
Genome 21: Fitness 62.06
Genome 22: Fitness 52.78
Genome 23: Fitness 75.09
Genome 24: Fitness 59.33
Genome 25: Fitness 18.64
Genome 26: Fitness 44.16
Genome 27: Fitness 47.53
Genome 28: Fitness 57.57
Genome 29: Fitness 34.26
Genome 30: Fitness 72.13
Genome 31: Fitness 32.52
Genome 32: Fitness 78.43
Genome 33: Fitness 64.06
Genome 34: Fitness 90.75
Genome 35: Fitness 40.15
Genome 36: Fitness 70.99
Genome 37: Fitness 54.81
Genome 38: Fitness 74.78
Genome 39: Fitness 72.69
Genome 40: Fitness 33.71
Genome 41: Fitness 58.81
Genome 42: Fitness 49.25
Genome 43: Fitness 80.70
Genome 44: Fitness 40.00
Genome 45: Fitness 91.01
Genome 46: Fitness 31.22
Genome 47: Fitness 39.65
Genome 48: Fitness 31.15
Genome 49: Fitness 31.12
Genome 50: Fitness 57.33
Best fitness: 93.83
Generation 23/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 11.20
Genome 5: Fitness 40.19
Genome 6: Fitness 86.10
Genome 7: Fitness 41.53
Genome 8: Fitness 53.26
Genome 9: Fitness 31.14
Genome 10: Fitness 85.73
Genome 11: Fitness 75.59
Genome 12: Fitness 77.16
Genome 13: Fitness 46.88
Genome 14: Fitness 59.04
Genome 15: Fitness 76.80
Genome 16: Fitness 49.63
Genome 17: Fitness 55.37
Genome 18: Fitness 64.03
Genome 19: Fitness 36.16
Genome 20: Fitness 8.27
Genome 21: Fitness 49.70
Genome 22: Fitness 82.42
Genome 23: Fitness 40.35
Genome 24: Fitness 33.05
Genome 25: Fitness 36.22
Genome 26: Fitness 50.07
Genome 27: Fitness 83.80
Genome 28: Fitness 30.28
Genome 29: Fitness 81.94
Genome 30: Fitness 50.46
Genome 31: Fitness 28.21
Genome 32: Fitness 28.86
Genome 33: Fitness 78.90
Genome 34: Fitness 32.71
Genome 35: Fitness 67.50
Genome 36: Fitness 72.54
Genome 37: Fitness 35.69
Genome 38: Fitness 86.19
Genome 39: Fitness 71.62
Genome 40: Fitness 42.19
Genome 41: Fitness 37.44
Genome 42: Fitness 29.05
Genome 43: Fitness 38.49
Genome 44: Fitness 77.57
Genome 45: Fitness 37.44
Genome 46: Fitness 71.67
Genome 47: Fitness 79.70
Genome 48: Fitness 64.57
Genome 49: Fitness 39.04
Genome 50: Fitness 84.90
Best fitness: 93.83
Generation 24/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 82.47
Genome 5: Fitness 63.54
Genome 6: Fitness 16.74
Genome 7: Fitness 39.26
Genome 8: Fitness 51.27
Genome 9: Fitness 37.08
Genome 10: Fitness 30.81
Genome 11: Fitness 46.26
Genome 12: Fitness 31.13
Genome 13: Fitness 33.05
Genome 14: Fitness 32.41
Genome 15: Fitness 10.16
Genome 16: Fitness 69.08
Genome 17: Fitness 71.28
Genome 18: Fitness 7.00
Genome 19: Fitness 37.33
Genome 20: Fitness 29.99
Genome 21: Fitness 36.30
Genome 22: Fitness 14.35
Genome 23: Fitness 69.22
Genome 24: Fitness 45.05
Genome 25: Fitness 36.03
Genome 26: Fitness 56.57
Genome 27: Fitness 56.55
Genome 28: Fitness 87.66
Genome 29: Fitness 21.89
Genome 30: Fitness 82.62
Genome 31: Fitness 46.91
Genome 32: Fitness 10.55
Genome 33: Fitness 41.35
Genome 34: Fitness 43.04
Genome 35: Fitness 39.68
Genome 36: Fitness 30.23
Genome 37: Fitness 80.57
Genome 38: Fitness 84.09
Genome 39: Fitness 86.78
Genome 40: Fitness 77.48
Genome 41: Fitness 83.53
Genome 42: Fitness 81.66
Genome 43: Fitness 67.27
Genome 44: Fitness 54.47
Genome 45: Fitness 48.74
Genome 46: Fitness 29.67
Genome 47: Fitness 83.01
Genome 48: Fitness 42.02
Genome 49: Fitness 52.97
Genome 50: Fitness 58.86
Best fitness: 93.83
Generation 25/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 30.11
Genome 5: Fitness 81.92
Genome 6: Fitness 47.91
Genome 7: Fitness 37.82
Genome 8: Fitness 70.67
Genome 9: Fitness 22.13
Genome 10: Fitness 67.76
Genome 11: Fitness 35.15
Genome 12: Fitness 31.61
Genome 13: Fitness 47.19
Genome 14: Fitness 52.39
Genome 15: Fitness 30.23
Genome 16: Fitness 47.20
Genome 17: Fitness 82.48
Genome 18: Fitness 19.28
Genome 19: Fitness 34.25
Genome 20: Fitness 49.03
Genome 21: Fitness 36.69
Genome 22: Fitness 28.99
Genome 23: Fitness 33.38
Genome 24: Fitness 7.42
Genome 25: Fitness 16.01
Genome 26: Fitness 32.10
Genome 27: Fitness 28.32
Genome 28: Fitness 71.72
Genome 29: Fitness 35.49
Genome 30: Fitness 52.00
Genome 31: Fitness 31.72
Genome 32: Fitness 90.47
Genome 33: Fitness 35.86
Genome 34: Fitness 59.08
Genome 35: Fitness 85.97
Genome 36: Fitness 88.53
Genome 37: Fitness 74.32
Genome 38: Fitness 81.33
Genome 39: Fitness 32.76
Genome 40: Fitness 32.24
Genome 41: Fitness 41.74
Genome 42: Fitness 30.61
Genome 43: Fitness 72.94
Genome 44: Fitness 82.85
Genome 45: Fitness 37.80
Genome 46: Fitness 43.53
Genome 47: Fitness 41.83
Genome 48: Fitness 64.58
Genome 49: Fitness 56.16
Genome 50: Fitness 66.07
Best fitness: 93.83
Generation 26/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 60.39
Genome 5: Fitness 41.82
Genome 6: Fitness 67.58
Genome 7: Fitness 80.90
Genome 8: Fitness 16.29
Genome 9: Fitness 46.40
Genome 10: Fitness 89.81
Genome 11: Fitness 90.08
Genome 12: Fitness 53.37
Genome 13: Fitness 75.31
Genome 14: Fitness 51.42
Genome 15: Fitness 11.62
Genome 16: Fitness 70.91
Genome 17: Fitness 81.43
Genome 18: Fitness 33.37
Genome 19: Fitness 76.83
Genome 20: Fitness 18.79
Genome 21: Fitness 69.43
Genome 22: Fitness 49.14
Genome 23: Fitness 46.73
Genome 24: Fitness 84.16
Genome 25: Fitness 29.89
Genome 26: Fitness 65.34
Genome 27: Fitness 41.59
Genome 28: Fitness 35.65
Genome 29: Fitness 40.06
Genome 30: Fitness 82.87
Genome 31: Fitness 37.26
Genome 32: Fitness 13.46
Genome 33: Fitness 35.81
Genome 34: Fitness 73.55
Genome 35: Fitness 88.13
Genome 36: Fitness 36.02
Genome 37: Fitness 23.00
Genome 38: Fitness 77.74
Genome 39: Fitness 65.89
Genome 40: Fitness 62.09
Genome 41: Fitness 50.26
Genome 42: Fitness 70.02
Genome 43: Fitness 37.33
Genome 44: Fitness 59.01
Genome 45: Fitness 34.62
Genome 46: Fitness 37.35
Genome 47: Fitness 36.91
Genome 48: Fitness 46.15
Genome 49: Fitness 11.20
Genome 50: Fitness 11.73
Best fitness: 93.83
Generation 27/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 32.11
Genome 5: Fitness 44.31
Genome 6: Fitness 75.09
Genome 7: Fitness 10.99
Genome 8: Fitness 32.07
Genome 9: Fitness 34.80
Genome 10: Fitness 72.50
Genome 11: Fitness 24.15
Genome 12: Fitness 58.94
Genome 13: Fitness 41.32
Genome 14: Fitness 34.41
Genome 15: Fitness 76.17
Genome 16: Fitness 77.65
Genome 17: Fitness 10.94
Genome 18: Fitness 40.74
Genome 19: Fitness 68.43
Genome 20: Fitness 49.06
Genome 21: Fitness 59.42
Genome 22: Fitness 48.11
Genome 23: Fitness 38.71
Genome 24: Fitness 91.33
Genome 25: Fitness 34.44
Genome 26: Fitness 34.64
Genome 27: Fitness 65.73
Genome 28: Fitness 33.29
Genome 29: Fitness 39.44
Genome 30: Fitness 38.42
Genome 31: Fitness 20.97
Genome 32: Fitness 51.76
Genome 33: Fitness 41.62
Genome 34: Fitness 31.19
Genome 35: Fitness 61.68
Genome 36: Fitness 31.51
Genome 37: Fitness 77.16
Genome 38: Fitness 43.69
Genome 39: Fitness 74.52
Genome 40: Fitness 57.74
Genome 41: Fitness 62.72
Genome 42: Fitness 33.56
Genome 43: Fitness 42.18
Genome 44: Fitness 52.48
Genome 45: Fitness 37.82
Genome 46: Fitness 44.79
Genome 47: Fitness 35.40
Genome 48: Fitness 13.91
Genome 49: Fitness 83.07
Genome 50: Fitness 57.65
Best fitness: 93.83
Generation 28/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 30.45
Genome 5: Fitness 67.39
Genome 6: Fitness 50.61
Genome 7: Fitness 52.37
Genome 8: Fitness 9.99
Genome 9: Fitness 33.31
Genome 10: Fitness 46.76
Genome 11: Fitness 65.78
Genome 12: Fitness 56.50
Genome 13: Fitness 70.98
Genome 14: Fitness 80.08
Genome 15: Fitness 72.80
Genome 16: Fitness 36.56
Genome 17: Fitness 56.90
Genome 18: Fitness 68.65
Genome 19: Fitness 37.73
Genome 20: Fitness 60.48
Genome 21: Fitness 72.45
Genome 22: Fitness 62.38
Genome 23: Fitness 82.28
Genome 24: Fitness 25.08
Genome 25: Fitness 38.37
Genome 26: Fitness 54.00
Genome 27: Fitness 45.10
Genome 28: Fitness 33.64
Genome 29: Fitness 37.16
Genome 30: Fitness 38.32
Genome 31: Fitness 38.99
Genome 32: Fitness 52.74
Genome 33: Fitness 72.74
Genome 34: Fitness 46.81
Genome 35: Fitness 80.95
Genome 36: Fitness 52.77
Genome 37: Fitness 36.72
Genome 38: Fitness 19.46
Genome 39: Fitness 31.52
Genome 40: Fitness 35.46
Genome 41: Fitness 33.79
Genome 42: Fitness 30.73
Genome 43: Fitness 46.54
Genome 44: Fitness 60.67
Genome 45: Fitness 49.18
Genome 46: Fitness 45.69
Genome 47: Fitness 30.24
Genome 48: Fitness 32.61
Genome 49: Fitness 79.66
Genome 50: Fitness 35.86
Best fitness: 93.83
Generation 29/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 32.34
Genome 5: Fitness 89.05
Genome 6: Fitness 46.57
Genome 7: Fitness 31.97
Genome 8: Fitness 64.32
Genome 9: Fitness 52.92
Genome 10: Fitness 34.87
Genome 11: Fitness 50.53
Genome 12: Fitness 46.44
Genome 13: Fitness 59.24
Genome 14: Fitness 44.61
Genome 15: Fitness 47.40
Genome 16: Fitness 62.65
Genome 17: Fitness 77.52
Genome 18: Fitness 68.89
Genome 19: Fitness 91.91
Genome 20: Fitness 87.44
Genome 21: Fitness 70.97
Genome 22: Fitness 85.15
Genome 23: Fitness 48.81
Genome 24: Fitness 50.15
Genome 25: Fitness 36.47
Genome 26: Fitness 44.32
Genome 27: Fitness 78.20
Genome 28: Fitness 50.52
Genome 29: Fitness 56.72
Genome 30: Fitness 46.98
Genome 31: Fitness 29.53
Genome 32: Fitness 68.15
Genome 33: Fitness 49.95
Genome 34: Fitness 82.36
Genome 35: Fitness 45.80
Genome 36: Fitness 90.79
Genome 37: Fitness 86.47
Genome 38: Fitness 32.11
Genome 39: Fitness 80.00
Genome 40: Fitness 85.53
Genome 41: Fitness 75.51
Genome 42: Fitness 20.65
Genome 43: Fitness 82.76
Genome 44: Fitness 30.32
Genome 45: Fitness 28.19
Genome 46: Fitness 81.83
Genome 47: Fitness 39.09
Genome 48: Fitness 47.79
Genome 49: Fitness 26.39
Genome 50: Fitness 30.92
Best fitness: 93.83
Generation 30/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 30.07
Genome 5: Fitness 66.85
Genome 6: Fitness 57.63
Genome 7: Fitness 48.23
Genome 8: Fitness 45.83
Genome 9: Fitness 81.04
Genome 10: Fitness 40.01
Genome 11: Fitness 86.26
Genome 12: Fitness 88.41
Genome 13: Fitness 76.85
Genome 14: Fitness 56.21
Genome 15: Fitness 62.71
Genome 16: Fitness 13.49
Genome 17: Fitness 23.84
Genome 18: Fitness 36.32
Genome 19: Fitness 24.31
Genome 20: Fitness 65.29
Genome 21: Fitness 52.02
Genome 22: Fitness 55.56
Genome 23: Fitness 12.63
Genome 24: Fitness 34.88
Genome 25: Fitness 37.85
Genome 26: Fitness 77.36
Genome 27: Fitness 66.19
Genome 28: Fitness 35.76
Genome 29: Fitness 87.63
Genome 30: Fitness 66.53
Genome 31: Fitness 37.05
Genome 32: Fitness 47.62
Genome 33: Fitness 47.35
Genome 34: Fitness 57.86
Genome 35: Fitness 89.72
Genome 36: Fitness 57.38
Genome 37: Fitness 45.73
Genome 38: Fitness 36.80
Genome 39: Fitness 83.77
Genome 40: Fitness 80.53
Genome 41: Fitness 83.17
Genome 42: Fitness 45.11
Genome 43: Fitness 61.85
Genome 44: Fitness 38.59
Genome 45: Fitness 49.02
Genome 46: Fitness 78.10
Genome 47: Fitness 30.55
Genome 48: Fitness 29.18
Genome 49: Fitness 39.25
Genome 50: Fitness 81.27
Best fitness: 93.83
Generation 31/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 42.08
Genome 5: Fitness 83.26
Genome 6: Fitness 47.69
Genome 7: Fitness 76.40
Genome 8: Fitness 36.94
Genome 9: Fitness 83.13
Genome 10: Fitness 59.64
Genome 11: Fitness 40.23
Genome 12: Fitness 58.51
Genome 13: Fitness 33.02
Genome 14: Fitness 24.60
Genome 15: Fitness 65.32
Genome 16: Fitness 78.95
Genome 17: Fitness 88.51
Genome 18: Fitness 40.43
Genome 19: Fitness 61.50
Genome 20: Fitness 75.77
Genome 21: Fitness 31.91
Genome 22: Fitness 54.25
Genome 23: Fitness 48.44
Genome 24: Fitness 43.83
Genome 25: Fitness 36.47
Genome 26: Fitness 43.29
Genome 27: Fitness 82.77
Genome 28: Fitness 64.23
Genome 29: Fitness 74.89
Genome 30: Fitness 83.84
Genome 31: Fitness 90.67
Genome 32: Fitness 78.51
Genome 33: Fitness 44.71
Genome 34: Fitness 59.98
Genome 35: Fitness 86.71
Genome 36: Fitness 29.26
Genome 37: Fitness 34.11
Genome 38: Fitness 27.03
Genome 39: Fitness 32.84
Genome 40: Fitness 75.52
Genome 41: Fitness 88.05
Genome 42: Fitness 86.99
Genome 43: Fitness 32.21
Genome 44: Fitness 34.27
Genome 45: Fitness 66.55
Genome 46: Fitness 45.01
Genome 47: Fitness 49.34
Genome 48: Fitness 45.12
Genome 49: Fitness 82.52
Genome 50: Fitness 65.91
Best fitness: 93.83
Generation 32/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 22.23
Genome 5: Fitness 42.03
Genome 6: Fitness 40.03
Genome 7: Fitness 85.15
Genome 8: Fitness 72.22
Genome 9: Fitness 52.30
Genome 10: Fitness 90.40
Genome 11: Fitness 63.78
Genome 12: Fitness 57.93
Genome 13: Fitness 21.51
Genome 14: Fitness 87.75
Genome 15: Fitness 45.23
Genome 16: Fitness 89.19
Genome 17: Fitness 37.24
Genome 18: Fitness 74.04
Genome 19: Fitness 29.42
Genome 20: Fitness 37.38
Genome 21: Fitness 51.51
Genome 22: Fitness 48.19
Genome 23: Fitness 60.99
Genome 24: Fitness 52.11
Genome 25: Fitness 51.18
Genome 26: Fitness 68.47
Genome 27: Fitness 8.36
Genome 28: Fitness 74.10
Genome 29: Fitness 70.07
Genome 30: Fitness 39.22
Genome 31: Fitness 8.52
Genome 32: Fitness 78.07
Genome 33: Fitness 29.48
Genome 34: Fitness 48.27
Genome 35: Fitness 36.57
Genome 36: Fitness 91.85
Genome 37: Fitness 53.98
Genome 38: Fitness 30.55
Genome 39: Fitness 16.98
Genome 40: Fitness 18.54
Genome 41: Fitness 51.31
Genome 42: Fitness 61.45
Genome 43: Fitness 61.78
Genome 44: Fitness 67.88
Genome 45: Fitness 34.97
Genome 46: Fitness 84.75
Genome 47: Fitness 56.45
Genome 48: Fitness 66.93
Genome 49: Fitness 30.28
Genome 50: Fitness 32.21
Best fitness: 93.83
Generation 33/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 67.26
Genome 5: Fitness 7.82
Genome 6: Fitness 49.44
Genome 7: Fitness 56.34
Genome 8: Fitness 86.02
Genome 9: Fitness 48.21
Genome 10: Fitness 78.58
Genome 11: Fitness 14.19
Genome 12: Fitness 66.80
Genome 13: Fitness 69.58
Genome 14: Fitness 42.66
Genome 15: Fitness 80.26
Genome 16: Fitness 62.50
Genome 17: Fitness 86.60
Genome 18: Fitness 44.40
Genome 19: Fitness 36.39
Genome 20: Fitness 72.33
Genome 21: Fitness 80.94
Genome 22: Fitness 47.10
Genome 23: Fitness 50.48
Genome 24: Fitness 66.04
Genome 25: Fitness 32.87
Genome 26: Fitness 54.31
Genome 27: Fitness 42.94
Genome 28: Fitness 58.17
Genome 29: Fitness 87.80
Genome 30: Fitness 87.83
Genome 31: Fitness 36.45
Genome 32: Fitness 37.35
Genome 33: Fitness 44.49
Genome 34: Fitness 58.86
Genome 35: Fitness 38.53
Genome 36: Fitness 78.46
Genome 37: Fitness 62.16
Genome 38: Fitness 59.43
Genome 39: Fitness 57.65
Genome 40: Fitness 45.48
Genome 41: Fitness 40.88
Genome 42: Fitness 80.67
Genome 43: Fitness 82.77
Genome 44: Fitness 57.51
Genome 45: Fitness 61.78
Genome 46: Fitness 80.85
Genome 47: Fitness 32.93
Genome 48: Fitness 75.53
Genome 49: Fitness 74.29
Genome 50: Fitness 51.41
Best fitness: 93.83
Generation 34/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 81.23
Genome 5: Fitness 86.00
Genome 6: Fitness 78.10
Genome 7: Fitness 44.58
Genome 8: Fitness 36.24
Genome 9: Fitness 69.49
Genome 10: Fitness 91.88
Genome 11: Fitness 65.52
Genome 12: Fitness 65.49
Genome 13: Fitness 52.36
Genome 14: Fitness 88.11
Genome 15: Fitness 30.09
Genome 16: Fitness 76.70
Genome 17: Fitness 44.57
Genome 18: Fitness 44.26
Genome 19: Fitness 73.67
Genome 20: Fitness 89.64
Genome 21: Fitness 31.39
Genome 22: Fitness 44.61
Genome 23: Fitness 45.43
Genome 24: Fitness 61.80
Genome 25: Fitness 40.88
Genome 26: Fitness 73.70
Genome 27: Fitness 71.61
Genome 28: Fitness 55.06
Genome 29: Fitness 29.84
Genome 30: Fitness 48.17
Genome 31: Fitness 60.72
Genome 32: Fitness 54.22
Genome 33: Fitness 42.06
Genome 34: Fitness 37.63
Genome 35: Fitness 32.83
Genome 36: Fitness 27.49
Genome 37: Fitness 34.36
Genome 38: Fitness 43.70
Genome 39: Fitness 36.15
Genome 40: Fitness 13.01
Genome 41: Fitness 43.85
Genome 42: Fitness 9.19
Genome 43: Fitness 65.89
Genome 44: Fitness 57.73
Genome 45: Fitness 88.73
Genome 46: Fitness 9.48
Genome 47: Fitness 44.56
Genome 48: Fitness 41.91
Genome 49: Fitness 76.37
Genome 50: Fitness 48.17
Best fitness: 93.83
Generation 35/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 55.36
Genome 5: Fitness 35.58
Genome 6: Fitness 59.40
Genome 7: Fitness 68.72
Genome 8: Fitness 56.74
Genome 9: Fitness 58.53
Genome 10: Fitness 13.78
Genome 11: Fitness 44.26
Genome 12: Fitness 81.09
Genome 13: Fitness 34.47
Genome 14: Fitness 31.97
Genome 15: Fitness 19.17
Genome 16: Fitness 35.50
Genome 17: Fitness 63.65
Genome 18: Fitness 85.41
Genome 19: Fitness 46.38
Genome 20: Fitness 71.15
Genome 21: Fitness 36.74
Genome 22: Fitness 64.02
Genome 23: Fitness 46.76
Genome 24: Fitness 56.34
Genome 25: Fitness 30.11
Genome 26: Fitness 69.39
Genome 27: Fitness 37.79
Genome 28: Fitness 51.57
Genome 29: Fitness 66.35
Genome 30: Fitness 38.70
Genome 31: Fitness 12.95
Genome 32: Fitness 48.76
Genome 33: Fitness 71.61
Genome 34: Fitness 34.45
Genome 35: Fitness 89.70
Genome 36: Fitness 73.14
Genome 37: Fitness 31.81
Genome 38: Fitness 67.26
Genome 39: Fitness 45.89
Genome 40: Fitness 82.94
Genome 41: Fitness 59.25
Genome 42: Fitness 77.02
Genome 43: Fitness 43.33
Genome 44: Fitness 73.92
Genome 45: Fitness 32.62
Genome 46: Fitness 55.74
Genome 47: Fitness 52.26
Genome 48: Fitness 37.34
Genome 49: Fitness 60.10
Genome 50: Fitness 56.03
Best fitness: 93.83
Generation 36/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 67.61
Genome 5: Fitness 50.25
Genome 6: Fitness 41.65
Genome 7: Fitness 91.87
Genome 8: Fitness 76.52
Genome 9: Fitness 53.79
Genome 10: Fitness 77.94
Genome 11: Fitness 38.61
Genome 12: Fitness 43.82
Genome 13: Fitness 63.14
Genome 14: Fitness 93.06
Genome 15: Fitness 59.64
Genome 16: Fitness 69.99
Genome 17: Fitness 91.03
Genome 18: Fitness 54.79
Genome 19: Fitness 78.75
Genome 20: Fitness 62.13
Genome 21: Fitness 51.94
Genome 22: Fitness 32.12
Genome 23: Fitness 54.42
Genome 24: Fitness 75.47
Genome 25: Fitness 34.70
Genome 26: Fitness 15.12
Genome 27: Fitness 54.58
Genome 28: Fitness 85.05
Genome 29: Fitness 39.24
Genome 30: Fitness 34.06
Genome 31: Fitness 48.30
Genome 32: Fitness 49.35
Genome 33: Fitness 71.75
Genome 34: Fitness 43.30
Genome 35: Fitness 73.23
Genome 36: Fitness 12.57
Genome 37: Fitness 85.99
Genome 38: Fitness 65.73
Genome 39: Fitness 76.21
Genome 40: Fitness 85.36
Genome 41: Fitness 82.09
Genome 42: Fitness 87.81
Genome 43: Fitness 29.00
