No saved genome found.
Genome 49: Fitness 52.76
Genome 50: Fitness 50.17
Best fitness: 90.12
Saved best genome to bestModels/bestGenome__g100_m0.1_p50_uniform_gen100_e3_pop2_p50_e3.json
Generation 5/100
Genome 1: Fitness 90.12
Genome 2: Fitness 89.74
Genome 3: Fitness 88.04
Genome 4: Fitness 69.02
Genome 5: Fitness 12.56
Genome 6: Fitness 60.53
Genome 7: Fitness 76.95
Genome 8: Fitness 40.46
Genome 9: Fitness 87.39
Genome 10: Fitness 87.67
Genome 11: Fitness 46.10
Genome 12: Fitness 42.47
Genome 13: Fitness 43.40
Genome 14: Fitness 90.96
Genome 15: Fitness 29.01
Genome 16: Fitness 89.35
Genome 17: Fitness 47.30
Genome 18: Fitness 45.61
Genome 19: Fitness 46.19
Genome 20: Fitness 61.97
Genome 21: Fitness 51.33
Genome 22: Fitness 54.34
Genome 23: Fitness 76.98
Genome 24: Fitness 54.41
Genome 25: Fitness 8.82
Genome 26: Fitness 59.02
Genome 27: Fitness 84.12
Genome 28: Fitness 60.99
Genome 29: Fitness 76.37
Genome 30: Fitness 53.96
Genome 31: Fitness 33.41
Genome 32: Fitness 53.62
Genome 33: Fitness 52.32
Genome 34: Fitness 20.22
Genome 35: Fitness 16.73
Genome 36: Fitness 92.80
Genome 37: Fitness 32.35
Genome 38: Fitness 35.80
Genome 39: Fitness 22.55
Genome 40: Fitness 42.45
Genome 41: Fitness 35.11
Genome 42: Fitness 34.36
Genome 43: Fitness 84.04
Genome 44: Fitness 39.14
Genome 45: Fitness 30.11
Genome 46: Fitness 16.31
Genome 47: Fitness 49.57
Genome 48: Fitness 60.19
Genome 49: Fitness 54.52
Genome 50: Fitness 43.25
Best fitness: 92.80
Saved best genome to bestModels/bestGenome__g100_m0.1_p50_uniform_gen100_e3_pop2_p50_e3.json
Generation 6/100
Genome 1: Fitness 92.80
Genome 2: Fitness 90.96
Genome 3: Fitness 90.12
Genome 4: Fitness 55.36
Genome 5: Fitness 80.73
Genome 6: Fitness 43.25
Genome 7: Fitness 22.66
Genome 8: Fitness 62.03
Genome 9: Fitness 58.07
Genome 10: Fitness 66.54
Genome 11: Fitness 46.35
Genome 12: Fitness 34.58
Genome 13: Fitness 89.98
Genome 14: Fitness 33.07
Genome 15: Fitness 49.24
Genome 16: Fitness 13.12
Genome 17: Fitness 22.14
Genome 18: Fitness 77.12
Genome 19: Fitness 43.51
Genome 20: Fitness 66.47
Genome 21: Fitness 81.86
Genome 22: Fitness 81.98
Genome 23: Fitness 16.51
Genome 24: Fitness 29.64
Genome 25: Fitness 79.72
Genome 26: Fitness 78.74
Genome 27: Fitness 33.40
Genome 28: Fitness 44.30
Genome 29: Fitness 92.84
Genome 30: Fitness 81.35
Genome 31: Fitness 60.76
Genome 32: Fitness 53.91
Genome 33: Fitness 30.85
